retweetCount,favoriteCount,text,time
28456,155649,✌️,2017-09-14T13:26:20.000Z
11662,59232,"Number 👆 in @easportsfifa
Now how many goals can you score with me in the #FIFA18 demo? http://x.ea.com/35632  #ad",2017-09-12T19:00:04.000Z
11330,106439,👌👌👌,2017-09-12T11:23:33.000Z
11830,90614,Eyes 👀 are the mirror of the soul 👌👌👌,2017-09-11T11:41:56.000Z
10733,98053,Happy Sunday 👌👖👔,2017-09-10T11:23:50.000Z
5557,53619,#LiveLifeFit @cr7crunchfitness  💯💪 #Fitness #Madrid,2017-09-08T18:32:06.000Z
7994,71663,Momentos 👌👌👌,2017-09-08T16:16:37.000Z
7957,56045,"Having fun tonight at the global launch of my first casual fragrance, CR7! 👌🏻⚽ #cr7fragrance #myfragranceyourgame",2017-09-07T20:31:16.000Z
4508,47058,Nothing better than workout with this view 🙏🏼😁 @PestanaCR7 #MadeiraIsland #Funchal,2017-09-06T18:41:58.000Z
3827,37051,"Have you ever had the hassle of a broken phone? I did… So now my new partner, @PanzerGlass, and I have created unique screen protection 😎",2017-09-05T17:30:06.000Z
13632,109196,Vestido com a minha linha de camisas e calças 👌👌👌🇵🇹,2017-09-05T10:18:26.000Z
17916,119955,Very important victory!💪⚽️,2017-09-03T21:39:39.000Z
16510,116111,🇵🇹,2017-09-01T13:40:17.000Z
14291,87980,"Focused and ready to let loose 🇵🇹⚽
#playfree #mercurial",2017-08-30T18:00:54.000Z
12277,90280,⚽️🇵🇹👍,2017-08-30T11:20:00.000Z
13842,95522,Nice to be back to the National Team!🇵🇹💪,2017-08-29T11:22:50.000Z
3054,38196,Time to check out @PestanaCR7,2017-08-28T17:33:06.000Z
3884,34010,⚽🏆 #CLEARMen,2017-08-26T17:30:06.000Z
10132,81119,THE MAN🏆,2017-08-26T10:37:31.000Z
19648,101588,GRACIAS EQUIPO🏆👌🙏🏽✌️❤️,2017-08-25T16:22:02.000Z
30409,137635,👀🏆,2017-08-25T11:58:19.000Z
46132,147659,"Thanks to my teammates, coaches and staff who helped me win this trophy. I dedicate this to my family, friends and fans. This is also yours!",2017-08-24T18:39:17.000Z
11968,90323,✈️,2017-08-24T11:57:28.000Z
3711,31130,Have you ever related steel to eco-friendly? I did.. that’s why I’ve partnered with the most safety-oriented steel brand #Egyptian_Steel,2017-08-23T11:30:02.000Z
26652,106333,Mais uma decisão incompreensível. Injustiças que nunca me derrubarão. E como sempre voltarei mais forte. Obrigado aos que me têm apoiado.,2017-08-22T18:10:06.000Z
17133,119908,😎👌,2017-08-22T13:41:56.000Z
7115,37188,New season. The World’s Game kicks off September 29. http://x.ea.com/34851  @easportsfifa #FIFA18 #ad,2017-08-21T17:01:29.000Z
7981,54836,My secret is dedication. 💯 @CR7CrunchFitnes #LiveLifeFit #Fitness,2017-08-18T17:57:51.000Z
25906,140186,🙏🏽,2017-08-18T10:37:14.000Z
45459,152084,Consternado com as notícias que chegam de Barcelona. Todo o apoio e solidariedade a família e amigos das vítimas.,2017-08-17T17:09:06.000Z
31893,159024,champions Super Cup 👌👌🏆,2017-08-17T09:31:49.000Z
22958,120664,Great session this morning!!!! Winning team 👌,2017-08-14T12:34:26.000Z
58087,197431,Team 👌,2017-08-14T00:41:18.000Z
23271,166222,Blessed❤️❤️❤️,2017-08-12T11:48:00.000Z
4953,50060,"Living in my #CR7Denim jeans👖A big shout out to my fans for the support ✋ Thank you, Obrigado and Gracias! @cr7limitless",2017-08-10T18:01:35.000Z
12641,100170,👌,2017-08-10T12:47:13.000Z
28465,129687,🏆,2017-08-09T11:24:34.000Z
40131,133406,SUPER CUP 🙏🏆🏆🏆🏆,2017-08-08T22:17:22.000Z
4052,29595,Proud to announce that my #CR7Denim Collection is now officially LIVE at http://CR7.com    👖💪@CR7limitless,2017-08-07T18:04:10.000Z
14262,97350,Looking good👌,2017-08-07T08:41:48.000Z
5899,52338,COMFORT IS THE NEW LUXURY! 👖Can't wait for the official launch of my #CR7Denim Collection tomorrow!! 💪🏼💪🏼💪🏼 @CR7limitless,2017-08-06T18:02:08.000Z
26109,124346,Great to be back!👍🏼⚽,2017-08-05T20:50:57.000Z
4792,50807,"I only choose a shampoo that is best for me, keeping me Dandruff-Free. #CLEARMen",2017-08-05T12:36:03.000Z
6258,56600,Coming soon! #CR7Fragrance #MyFragranceYourGame 🕑😉👌🏼,2017-08-04T18:02:01.000Z
6603,42211,"“Son, follow your dreams.” I always remember my parents’ advice. What’s the best advice you’ve received? #ad @Herbalife",2017-08-03T18:08:45.000Z
2413,23830,Happy with my new partnership with @EXNESS,2017-08-02T11:58:23.000Z
19685,71343,"A lot can happen in 5 years but for some refugee kids, nothing has changed. Don't forget about them. #Zaatari #Syria @SavetheChildren",2017-07-28T09:08:33.000Z
12186,66510,"It's good to see how fast I'm ""shared"" in the United States 🤣👍🏽 #RonaldoFaster",2017-07-27T18:28:51.000Z
3480,34158,"TB one year ago, at the opening of my first hotel! @PestanaCR7",2017-07-25T17:58:47.000Z
